timestamp,route_id,trip_id,stop_id,scheduled_departure,actual_departure,mode
2025-09-01 00:06:00,64U,27562917U,3152,2025-09-01 00:06:00,2025-09-01 00:08:55.869660498,bus
2025-09-01 00:06:00,9U,27650689U,2852,2025-09-01 00:06:00,2025-09-01 00:05:07.487374800,tram
2025-09-01 00:06:07,40U,27636754U,951,2025-09-01 00:06:07,2025-09-01 00:05:03.102739438,bus
2025-09-01 00:06:11,18U,27652410U,3581,2025-09-01 00:06:11,2025-09-01 00:09:01.101181004,bus
2025-09-01 00:06:20,56U,27552598U,3699,2025-09-01 00:06:20,2025-09-01 00:06:45.237514292,bus
2025-09-01 00:06:22,34U,27645162U,168,2025-09-01 00:06:22,2025-09-01 00:08:27.478585156,bus
2025-09-01 00:06:27,18U,27558080U,2641,2025-09-01 00:06:27,2025-09-01 00:09:50.724845856,bus
2025-09-01 00:06:29,60U,27553106U,845,2025-09-01 00:06:29,2025-09-01 00:06:06.305516558,bus
2025-09-01 00:06:32,18U,27548294U,3580,2025-09-01 00:06:32,2025-09-01 00:04:47.294050820,bus
2025-09-01 00:06:33,30U,27653113U,3176,2025-09-01 00:06:33,2025-09-01 00:09:43.055582598,bus
2025-09-01 00:06:47,56U,27647815U,634,2025-09-01 00:06:47,2025-09-01 00:12:48.316314656,bus
2025-09-01 00:06:49,67U,27657794U,275,2025-09-01 00:06:49,2025-09-01 00:06:26.407886488,bus
2025-09-01 00:06:54,72U,27554566U,1287,2025-09-01 00:06:54,2025-09-01 00:07:58.870218276,bus
2025-09-01 00:06:56,35U,27567324U,3748,2025-09-01 00:06:56,2025-09-01 00:11:41.605066418,bus
2025-09-01 00:07:04,29U,27558699U,1659,2025-09-01 00:07:04,2025-09-01 00:08:13.847769838,bus
2025-09-01 00:07:27,74U,27640691U,670,2025-09-01 00:07:27,2025-09-01 00:04:27.000000000,bus
2025-09-01 00:07:42,76U,27656607U,1056,2025-09-01 00:07:42,2025-09-01 00:07:35.129361024,bus
2025-09-01 00:08:00,58BU,27593430U,2767,2025-09-01 00:08:00,2025-09-01 00:17:28.225708464,bus
2025-09-01 00:08:00,M1SU,27571034U,1820,2025-09-01 00:08:00,2025-09-01 00:05:25.156181232,bus
2025-09-01 00:08:01,5U,27568703U,1682,2025-09-01 00:08:01,2025-09-01 00:13:39.784018876,bus
2025-09-01 00:08:18,61U,27562575U,906,2025-09-01 00:08:18,2025-09-01 00:05:18.000000000,bus
2025-09-01 00:08:29,42U,27568200U,2665,2025-09-01 00:08:29,2025-09-01 00:06:04.522618970,bus
2025-09-01 00:08:33,2U,27634601U,18,2025-09-01 00:08:33,2025-09-01 00:12:32.641446618,bus
2025-09-01 00:08:35,64U,27562917U,991,2025-09-01 00:08:35,2025-09-01 00:10:11.516475068,bus
2025-09-01 00:08:44,64U,27655742U,2538,2025-09-01 00:08:44,2025-09-01 00:11:34.267102700,bus
2025-09-01 00:08:53,30U,27635364U,2030,2025-09-01 00:08:53,2025-09-01 00:08:24.911145728,bus
2025-09-01 00:08:54,71U,27576585U,2220,2025-09-01 00:08:54,2025-09-01 00:09:23.178524394,bus
2025-09-01 00:09:13,45U,27568329U,39,2025-09-01 00:09:13,2025-09-01 00:06:18.254866990,bus
2025-09-01 00:09:24,56U,27638558U,2365,2025-09-01 00:09:24,2025-09-01 00:10:36.615696678,bus
2025-09-01 00:09:35,17U,27616583U,3509,2025-09-01 00:09:35,2025-09-01 00:12:47.981627282,bus
2025-09-01 00:09:35,68U,27656083U,3185,2025-09-01 00:09:35,2025-09-01 00:11:14.376821222,bus
2025-09-01 00:09:52,74U,27656448U,1369,2025-09-01 00:09:52,2025-09-01 00:11:50.170396396,bus
2025-09-01 00:10:00,3U,27558720U,1404,2025-09-01 00:10:00,2025-09-01 00:09:31.526388672,tram
2025-09-01 00:10:00,4U,27646014U,135,2025-09-01 00:10:00,2025-09-01 00:07:10.113087198,tram
2025-09-01 00:10:32,71U,27576868U,209,2025-09-01 00:10:32,2025-09-01 00:13:31.323111794,bus
2025-09-01 00:10:50,35U,27645315U,3713,2025-09-01 00:10:50,2025-09-01 00:09:32.699464820,bus
2025-09-01 00:10:56,15U,27643394U,3153,2025-09-01 00:10:56,2025-09-01 00:10:44.827062482,tram
2025-09-01 00:10:58,55U,27561675U,561,2025-09-01 00:10:58,2025-09-01 00:09:38.760182392,bus
2025-09-01 00:11:00,20U,27644375U,8647,2025-09-01 00:11:00,2025-09-01 00:16:52.725262800,bus
2025-09-01 00:11:00,5U,27568716U,2231,2025-09-01 00:11:00,2025-09-01 00:12:41.485276632,bus
2025-09-01 00:11:10,CP1U,27650899U,1490,2025-09-01 00:11:10,2025-09-01 00:15:10.874038978,bus
2025-09-01 00:11:11,16CDU,27617859U,979,2025-09-01 00:11:11,2025-09-01 00:13:32.807781500,tram
2025-09-01 00:11:12,18U,27643960U,3423,2025-09-01 00:11:12,2025-09-01 00:09:46.075088454,bus
2025-09-01 00:11:32,67U,27656001U,3572,2025-09-01 00:11:32,2025-09-01 00:17:30.146726612,bus
2025-09-01 00:11:33,59U,27569192U,1883,2025-09-01 00:11:33,2025-09-01 00:14:04.471563395,bus
2025-09-01 00:11:37,15U,27651993U,3405,2025-09-01 00:11:37,2025-09-01 00:11:05.641756888,tram
2025-09-01 00:12:00,METROU,24516811U,3640,2025-09-01 00:12:00,2025-09-01 00:16:02.625915732,metro
2025-09-01 00:12:04,29U,27644599U,2691,2025-09-01 00:12:04,2025-09-01 00:19:03.386325208,bus
2025-09-01 00:12:12,16CSU,27643679U,3002,2025-09-01 00:12:12,2025-09-01 00:17:05.568803328,tram
2025-09-01 00:12:29,75U,27649936U,7905,2025-09-01 00:12:29,2025-09-01 00:17:39.057440960,bus
2025-09-01 00:12:31,36U,27567555U,3808,2025-09-01 00:12:31,2025-09-01 00:11:25.610087404,bus
2025-09-01 00:12:37,CP1U,27564846U,8718,2025-09-01 00:12:37,2025-09-01 00:12:35.042124100,bus
2025-09-01 00:12:38,13U,27557040U,2989,2025-09-01 00:12:38,2025-09-01 00:18:32.092625126,tram
2025-09-01 00:12:44,4U,27636148U,1691,2025-09-01 00:12:44,2025-09-01 00:17:41.254289990,tram
2025-09-01 00:12:49,56U,27647844U,2413,2025-09-01 00:12:49,2025-09-01 00:12:16.340877724,bus
2025-09-01 00:12:55,18U,27652471U,1151,2025-09-01 00:12:55,2025-09-01 00:09:55.000000000,bus
2025-09-01 00:13:00,49U,27568571U,672,2025-09-01 00:13:00,2025-09-01 00:13:55.725883740,bus
2025-09-01 00:13:00,4U,27636180U,2032,2025-09-01 00:13:00,2025-09-01 00:12:36.024564522,tram
2025-09-01 00:13:00,M1SU,27650920U,2722,2025-09-01 00:13:00,2025-09-01 00:12:14.707432206,bus
2025-09-01 00:13:01,5U,27647115U,2416,2025-09-01 00:13:01,2025-09-01 00:22:13.657956568,bus
2025-09-01 00:13:01,61U,27655441U,3561,2025-09-01 00:13:01,2025-09-01 00:15:17.650577133,bus
2025-09-01 00:13:03,49U,27637684U,360,2025-09-01 00:13:03,2025-09-01 00:20:59.660995368,bus
2025-09-01 00:13:27,16CSU,27652153U,3428,2025-09-01 00:13:27,2025-09-01 00:11:30.388578930,tram
2025-09-01 00:13:39,13U,27643013U,2987,2025-09-01 00:13:39,2025-09-01 00:16:49.108235736,tram
2025-09-01 00:13:44,51U,27561412U,242,2025-09-01 00:13:44,2025-09-01 00:14:35.088999800,bus
2025-09-01 00:13:48,55U,27647631U,3502,2025-09-01 00:13:48,2025-09-01 00:14:50.792248200,bus
2025-09-01 00:13:50,5U,27637720U,2395,2025-09-01 00:13:50,2025-09-01 00:10:50.000000000,bus
2025-09-01 00:13:51,9U,27555825U,1041,2025-09-01 00:13:51,2025-09-01 00:22:37.053552990,tram
2025-09-01 00:14:00,3U,27635087U,1130,2025-09-01 00:14:00,2025-09-01 00:19:11.167451514,tram
2025-09-01 00:14:26,62U,27562593U,440,2025-09-01 00:14:26,2025-09-01 00:16:22.188748466,bus
2025-09-01 00:14:35,11U,27546893U,1561,2025-09-01 00:14:35,2025-09-01 00:17:16.813277018,bus
2025-09-01 00:14:43,5U,27637782U,2132,2025-09-01 00:14:43,2025-09-01 00:15:24.830738554,bus
2025-09-01 00:15:00,36U,27571332U,3805,2025-09-01 00:15:00,2025-09-01 00:15:04.760042166,bus
2025-09-01 00:15:17,76U,27641027U,3666,2025-09-01 00:15:17,2025-09-01 00:20:51.763246034,bus
2025-09-01 00:15:22,74U,27554711U,1376,2025-09-01 00:15:22,2025-09-01 00:18:11.513238622,bus
2025-09-01 00:15:24,30U,27594261U,2086,2025-09-01 00:15:24,2025-09-01 00:12:24.000000000,bus
2025-09-01 00:15:28,5U,27647115U,2375,2025-09-01 00:15:28,2025-09-01 00:40:13.482771166,bus
2025-09-01 00:15:30,40U,27646360U,3837,2025-09-01 00:15:30,2025-09-01 00:18:41.913796542,bus
2025-09-01 00:15:50,68U,27554186U,1192,2025-09-01 00:15:50,2025-09-01 00:18:21.126672187,bus
2025-09-01 00:16:04,18U,27652410U,422,2025-09-01 00:16:04,2025-09-01 00:20:27.727360600,bus
2025-09-01 00:16:20,74U,27554711U,1374,2025-09-01 00:16:20,2025-09-01 00:15:44.961316394,bus
2025-09-01 00:16:33,4NU,27550647U,299,2025-09-01 00:16:33,2025-09-01 00:18:08.612120760,bus
2025-09-01 00:16:33,4NU,27636575U,299,2025-09-01 00:16:33,2025-09-01 00:19:20.994911322,bus
2025-09-01 00:16:39,61U,27639304U,863,2025-09-01 00:16:39,2025-09-01 00:19:16.697166162,bus
2025-09-01 00:16:49,67U,27649310U,1150,2025-09-01 00:16:49,2025-09-01 00:14:50.361714490,bus
2025-09-01 00:17:00,69U,27640266U,700,2025-09-01 00:17:00,2025-09-01 00:16:59.396994810,bus
2025-09-01 00:17:01,35U,27549909U,3751,2025-09-01 00:17:01,2025-09-01 00:23:46.973390992,bus
2025-09-01 00:17:47,62U,27655509U,3616,2025-09-01 00:17:47,2025-09-01 00:17:17.117153486,bus
2025-09-01 00:17:50,59U,27648124U,1657,2025-09-01 00:17:50,2025-09-01 00:21:03.034804862,bus
2025-09-01 00:18:11,3U,27567000U,1151,2025-09-01 00:18:11,2025-09-01 00:17:04.517889260,tram
2025-09-01 00:18:13,30U,27644925U,2082,2025-09-01 00:18:13,2025-09-01 00:25:53.404402228,bus
2025-09-01 00:18:35,11U,27546893U,1446,2025-09-01 00:18:35,2025-09-01 00:20:01.157644568,bus
2025-09-01 00:18:51,38U,27653648U,3030,2025-09-01 00:18:51,2025-09-01 00:18:40.174503864,bus
2025-09-01 00:18:56,68U,27570093U,3556,2025-09-01 00:18:56,2025-09-01 00:18:20.675480702,bus
2025-09-01 00:18:59,62U,27569516U,1550,2025-09-01 00:18:59,2025-09-01 00:22:08.283313316,bus
2025-09-01 00:19:03,18U,27566390U,676,2025-09-01 00:19:03,2025-09-01 00:23:19.717055358,bus
2025-09-01 00:19:08,10NU,27651325U,845,2025-09-01 00:19:08,2025-09-01 00:17:46.996030118,bus
2025-09-01 00:19:20,35U,27635836U,3711,2025-09-01 00:19:20,2025-09-01 00:22:18.870088604,bus
2025-09-01 00:19:51,67U,27571822U,59,2025-09-01 00:19:51,2025-09-01 00:24:34.638508866,bus
2025-09-01 00:19:59,34U,27645162U,3747,2025-09-01 00:19:59,2025-09-01 00:18:31.955510552,bus
2025-09-01 00:20:00,METROU,24516815U,3630,2025-09-01 00:20:00,2025-09-01 00:22:19.156939014,metro
2025-09-01 00:20:07,59U,27569192U,1901,2025-09-01 00:20:07,2025-09-01 00:18:21.159175048,bus
2025-09-01 00:20:07,M1SU,27571025U,2994,2025-09-01 00:20:07,2025-09-01 00:18:38.152938802,bus
2025-09-01 00:20:14,11U,27565482U,2966,2025-09-01 00:20:14,2025-09-01 00:17:14.000000000,bus
2025-09-01 00:20:29,27U,27652789U,657,2025-09-01 00:20:29,2025-09-01 00:24:30.334166048,bus
2025-09-01 00:20:40,81U,27564568U,3739,2025-09-01 00:20:40,2025-09-01 00:21:18.513256798,bus
2025-09-01 00:20:40,81U,27650558U,3739,2025-09-01 00:20:40,2025-09-01 00:20:23.680776544,bus
2025-09-01 00:20:56,46U,27654376U,2940,2025-09-01 00:20:56,2025-09-01 00:23:11.133311582,bus
2025-09-01 00:21:09,67U,27563247U,2288,2025-09-01 00:21:09,2025-09-01 00:27:03.962621970,bus
2025-09-01 00:21:17,11U,27556803U,1687,2025-09-01 00:21:17,2025-09-01 00:20:53.756410832,bus
2025-09-01 00:21:17,64U,27569765U,2588,2025-09-01 00:21:17,2025-09-01 00:22:26.747091080,bus
2025-09-01 00:21:17,VE1U,27632067U,938,2025-09-01 00:21:17,2025-09-01 00:23:15.156082940,bus
2025-09-01 00:21:20,3U,27567066U,2627,2025-09-01 00:21:20,2025-09-01 00:23:39.877031144,tram
2025-09-01 00:21:28,61U,27569438U,874,2025-09-01 00:21:28,2025-09-01 00:23:35.472228898,bus
2025-09-01 00:21:54,4NU,27646117U,318,2025-09-01 00:21:54,2025-09-01 00:24:42.778021236,bus
2025-09-01 00:22:00,8U,27555361U,3551,2025-09-01 00:22:00,2025-09-01 00:25:17.450261514,bus
2025-09-01 00:22:06,14U,27651827U,340,2025-09-01 00:22:06,2025-09-01 00:25:18.296035614,bus
2025-09-01 00:22:29,51U,27561372U,228,2025-09-01 00:22:29,2025-09-01 00:19:29.000000000,bus
2025-09-01 00:22:56,61U,27562504U,870,2025-09-01 00:22:56,2025-09-01 00:26:44.123459840,bus
2025-09-01 00:23:02,76U,27641027U,1489,2025-09-01 00:23:02,2025-09-01 00:30:21.696375950,bus
2025-09-01 00:23:13,49U,27568571U,1457,2025-09-01 00:23:13,2025-09-01 00:20:13.000000000,bus
2025-09-01 00:23:27,55U,27654910U,570,2025-09-01 00:23:27,2025-09-01 00:27:19.405314930,bus
2025-09-01 00:23:49,11U,27546856U,2217,2025-09-01 00:23:49,2025-09-01 00:24:24.237507628,bus
2025-09-01 00:23:50,10NU,27626519U,1297,2025-09-01 00:23:50,2025-09-01 00:30:21.363440036,bus
2025-09-01 00:23:50,10NU,27626793U,1297,2025-09-01 00:23:50,2025-09-01 00:26:58.480688354,bus
2025-09-01 00:23:59,8U,27656794U,3538,2025-09-01 00:23:59,2025-09-01 00:30:16.898300738,bus
2025-09-01 00:24:23,13U,27565759U,2990,2025-09-01 00:24:23,2025-09-01 00:29:02.220675272,tram
2025-09-01 00:24:28,32U,27567200U,8065,2025-09-01 00:24:28,2025-09-01 00:27:47.691916570,bus
2025-09-01 00:24:31,56U,27638558U,3015,2025-09-01 00:24:31,2025-09-01 00:25:56.668877140,bus
2025-09-01 00:24:39,17U,27595691U,3525,2025-09-01 00:24:39,2025-09-01 00:24:42.945049602,bus
2025-09-01 00:24:45,30U,27635364U,2070,2025-09-01 00:24:45,2025-09-01 00:23:26.851764798,bus
2025-09-01 00:24:50,49U,27654564U,1459,2025-09-01 00:24:50,2025-09-01 00:21:50.000000000,bus
2025-09-01 00:24:58,3U,27567015U,71,2025-09-01 00:24:58,2025-09-01 00:21:58.000000000,tram
2025-09-01 00:25:05,17U,27643792U,3445,2025-09-01 00:25:05,2025-09-01 00:26:25.894267742,bus
2025-09-01 00:25:06,36U,27657134U,3798,2025-09-01 00:25:06,2025-09-01 00:25:06.217710480,bus
2025-09-01 00:25:34,10U,27642430U,3594,2025-09-01 00:25:34,2025-09-01 00:23:42.314230300,tram
2025-09-01 00:26:00,42U,27646487U,162,2025-09-01 00:26:00,2025-09-01 00:23:00.000000000,bus
2025-09-01 00:26:05,45U,27654356U,2448,2025-09-01 00:26:05,2025-09-01 00:30:37.574663690,bus
2025-09-01 00:26:28,64U,27655742U,145,2025-09-01 00:26:28,2025-09-01 00:33:42.578573548,bus
2025-09-01 00:26:43,71U,27640368U,191,2025-09-01 00:26:43,2025-09-01 00:26:11.442238312,bus
2025-09-01 00:26:44,4U,27567738U,1688,2025-09-01 00:26:44,2025-09-01 00:28:47.754076166,tram
2025-09-01 00:26:55,77U,27650155U,2968,2025-09-01 00:26:55,2025-09-01 00:34:30.591272914,bus
2025-09-01 00:27:00,17U,27595691U,3526,2025-09-01 00:27:00,2025-09-01 00:27:19.432836744,bus
2025-09-01 00:27:17,2U,27644256U,573,2025-09-01 00:27:17,2025-09-01 00:36:39.576713990,bus
2025-09-01 00:27:23,18U,27643956U,3573,2025-09-01 00:27:23,2025-09-01 00:28:04.005998102,bus
2025-09-01 00:28:00,67U,27655959U,1160,2025-09-01 00:28:00,2025-09-01 00:28:58.254128910,bus
2025-09-01 00:28:11,43U,27568253U,2136,2025-09-01 00:28:11,2025-09-01 00:29:57.607808024,bus
2025-09-01 00:28:13,67U,27657853U,3568,2025-09-01 00:28:13,2025-09-01 00:32:37.109776360,bus
2025-09-01 00:28:18,66U,27649118U,274,2025-09-01 00:28:18,2025-09-01 00:25:18.000000000,bus
2025-09-01 00:28:26,71U,27640428U,1078,2025-09-01 00:28:26,2025-09-01 00:29:27.908569850,bus
2025-09-01 00:28:29,52U,27659543U,3416,2025-09-01 00:28:29,2025-09-01 00:28:49.118187356,bus
2025-09-01 00:28:36,15U,27633576U,1732,2025-09-01 00:28:36,2025-09-01 00:29:45.210201726,tram
2025-09-01 00:29:07,75U,27554852U,1359,2025-09-01 00:29:07,2025-09-01 00:28:14.250320296,bus
2025-09-01 00:29:09,2U,27644208U,3598,2025-09-01 00:29:09,2025-09-01 00:34:59.738810802,bus
2025-09-01 00:29:26,17U,27595691U,3110,2025-09-01 00:29:26,2025-09-01 00:29:37.236804740,bus
2025-09-01 00:30:00,15U,27643384U,3142,2025-09-01 00:30:00,2025-09-01 00:31:13.638694788,tram
2025-09-01 00:30:00,63BU,27648793U,265,2025-09-01 00:30:00,2025-09-01 00:27:00.000000000,bus
2025-09-01 00:30:00,64U,27613368U,2508,2025-09-01 00:30:00,2025-09-01 00:32:23.980035252,bus
2025-09-01 00:30:00,METROU,22853812U,3624,2025-09-01 00:30:00,2025-09-01 00:32:12.330390120,metro
2025-09-01 00:30:07,52U,27626675U,2815,2025-09-01 00:30:07,2025-09-01 00:33:53.679711628,bus
2025-09-01 00:30:22,61U,27569461U,1037,2025-09-01 00:30:22,2025-09-01 00:32:43.669632694,bus
2025-09-01 00:30:40,32U,27645015U,1923,2025-09-01 00:30:40,2025-09-01 00:31:47.257537996,bus
2025-09-01 00:30:44,33U,27575741U,3661,2025-09-01 00:30:44,2025-09-01 00:27:49.176073718,bus
2025-09-01 00:30:46,62U,27655474U,957,2025-09-01 00:30:46,2025-09-01 00:30:40.394402494,bus
2025-09-01 00:30:48,5U,27637823U,2242,2025-09-01 00:30:48,2025-09-01 00:34:48.445421334,bus
2025-09-01 00:31:00,11U,27632843U,1621,2025-09-01 00:31:00,2025-09-01 00:28:00.000000000,bus
2025-09-01 00:31:00,27U,27644490U,704,2025-09-01 00:31:00,2025-09-01 00:28:00.000000000,bus
2025-09-01 00:31:00,27U,27652866U,704,2025-09-01 00:31:00,2025-09-01 00:34:57.948696198,bus
2025-09-01 00:31:18,45U,27637244U,8081,2025-09-01 00:31:18,2025-09-01 00:31:14.818522548,bus
2025-09-01 00:31:24,10U,27651298U,2840,2025-09-01 00:31:24,2025-09-01 00:35:25.092071274,tram
2025-09-01 00:31:24,59U,27648181U,1886,2025-09-01 00:31:24,2025-09-01 00:32:21.750121224,bus
2025-09-01 00:31:30,4U,27653731U,1684,2025-09-01 00:31:30,2025-09-01 00:28:42.247329960,tram
2025-09-01 00:32:01,40U,27560363U,2021,2025-09-01 00:32:01,2025-09-01 00:32:02.966055735,bus
2025-09-01 00:32:07,33U,27635583U,2468,2025-09-01 00:32:07,2025-09-01 00:32:48.766874602,bus
2025-09-01 00:32:09,M1SU,27571034U,2930,2025-09-01 00:32:09,2025-09-01 00:34:02.775020838,bus
2025-09-01 00:32:12,45U,27560737U,65,2025-09-01 00:32:12,2025-09-01 00:39:11.571771978,bus
2025-09-01 00:32:38,10U,27642446U,2838,2025-09-01 00:32:38,2025-09-01 00:29:38.000000000,tram
2025-09-01 00:32:39,30U,27653113U,2049,2025-09-01 00:32:39,2025-09-01 00:38:10.178361558,bus
2025-09-01 00:32:49,64U,27655726U,1010,2025-09-01 00:32:49,2025-09-01 00:34:09.094966048,bus
2025-09-01 00:32:58,68U,27649342U,2501,2025-09-01 00:32:58,2025-09-01 00:30:50.474536738,bus
2025-09-01 00:33:00,3U,27567015U,2624,2025-09-01 00:33:00,2025-09-01 00:35:23.958189678,tram
2025-09-01 00:33:00,58BU,27562027U,2832,2025-09-01 00:33:00,2025-09-01 00:34:25.915524612,bus
2025-09-01 00:33:00,METROU,22853810U,3639,2025-09-01 00:33:00,2025-09-01 00:39:11.649243900,metro
2025-09-01 00:33:00,METROU,24517142U,3621,2025-09-01 00:33:00,2025-09-01 00:30:18.702144666,metro
2025-09-01 00:33:11,30U,27644866U,2083,2025-09-01 00:33:11,2025-09-01 00:30:11.000000000,bus
2025-09-01 00:33:19,11U,27651469U,1595,2025-09-01 00:33:19,2025-09-01 00:35:00.604406698,bus
2025-09-01 00:33:25,40U,27646347U,529,2025-09-01 00:33:25,2025-09-01 00:32:13.280715982,bus
2025-09-01 00:33:29,16CSU,27629849U,1052,2025-09-01 00:33:29,2025-09-01 00:33:13.327363406,tram
2025-09-01 00:33:43,30U,27653113U,2045,2025-09-01 00:33:43,2025-09-01 00:30:43.000000000,bus
2025-09-01 00:33:48,66U,27554054U,500,2025-09-01 00:33:48,2025-09-01 00:35:45.384092544,bus
2025-09-01 00:33:51,66U,27640006U,1880,2025-09-01 00:33:51,2025-09-01 00:34:16.581939978,bus
2025-09-01 00:34:13,45U,27560827U,2241,2025-09-01 00:34:13,2025-09-01 00:39:10.851778456,bus
2025-09-01 00:34:15,33U,27575762U,3692,2025-09-01 00:34:15,2025-09-01 00:42:43.185858156,bus
2025-09-01 00:34:29,49U,27647097U,405,2025-09-01 00:34:29,2025-09-01 00:33:36.073666400,bus
2025-09-01 00:34:33,N08U,22413965U,3537,2025-09-01 00:34:33,2025-09-01 00:34:39.776677320,bus
2025-09-01 00:35:00,35U,27645297U,2666,2025-09-01 00:35:00,2025-09-01 00:37:47.003351682,bus
2025-09-01 00:35:00,69U,27640266U,1756,2025-09-01 00:35:00,2025-09-01 00:35:29.591976600,bus
